authorDisplayName,textDisplay
@user122,mending urus dulu negara baru ngengonten
@user123,Saya kesini cuma pengen liat komentar.. komentarnya lebih berfaedah
@user124,Lebih baik pendidikan gratis<br>Daripada makan gratis😮
@user125,Sy nyari kerjaan saja susaaaaahhh😢 bangeeeeeeeeeet
@user126,"Ustadz jazir said : <br>Sekarang susah cari kerjaan sampai2 presiden bingung cari kerjaan buat anaknya,<br>Apalagi cuma anak pak rt"
@user127,😂👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏
@user128,Pak Dedi tolong bawa ini ke barak biar menjadi lebih baik lagi
@user129,Mana 19jt lapkernya
@user130,wi wok de tok nat onli tok de tok
@user131,HIDUP FUFUFAFA NARKOBOY
@user132,"Br sadar pendidikan lebih penting drpd makan gratis. Tp klo dihitung² makan gratis dampaknya besar jg, sampai² lapangan pekerjaan, pendanaan negara, dan pengangguran ..................................................!!!!!!!!!!"
@user133,PEMERINTAH GADA GUNANYA. REVOLUSI!!!
@user134,Beli like harganya brp mas 😂
@user135,"Saya bukan bzr, ahli atau tkoh intlek. Saya cuma mau berbagi...&quot;Apa wakil presiden sebelumnya di kritisi sedemikian gawatnya... Ada apa sodaraku se tanah air.??? Kasih dukungan, kasih kesempatan, kasih masukan ke wakil pmimpin kita... kalo se indo di sibukin buat nyopot wapres trus kerjaan ketunda lagiii... nunggu pelantikan lagi...  Istighfar sodaraku se Tanah air... jgn mudah d adu domba. 😢😢<br><br>Beri dukungan Mulai dari do&#39;a &quot;semoga tuhan menjaga hati setiap pemimpin indonesia..Aamiin&quot;"
@user136,Dislike ajaa 😂
@user137,Orang dungu di setting intelek ya salah to mas.makin menyala kedunguan nya.kasian ih🎉
@user138,Mana bisa mengerti tantangan kalau ndak pernah berjuang sendiri dengan tangan sendiri
@user139,GIBRAN BAKAL JADI PRESIDEN INDONESIAAAA   TERSUKSES DI DUNIAAAAAA
@user140,Bran kalau di tanya langsung sama wartawan kok kebanyakan ngawourr 😂 beda kalau di video yah hahaha
@user141,"Bran negara kita mau gimana nih, asli nin indonesia cerah..."
@user142,Bran mana nih kok ekonomi negara makin sini makin merosot
@user143,Saya jg
@user144,tong kosong bunyi nyaringnya 😭😭
@user145,bisa loncat loncat gitu ya topiknya
@user146,"Cuma mau ngingetin, pak Prabowo melarang kita OMON OMON KOSON."
@user147,g ne kurang telu
@user148,"Mas Gibran mewakili generasi muda. Harapan sebagai anak muda untuk mas Gibran, mas Gibran dapat menunjukan &amp;  bukti bahwa anak Muda mampu menjadi seorang pemimpin."
@user149,Gak mutu 😂
@user150,Kok gw emosi nontonnya? 😂 Kenapa ya?
@user151,Pas kali mas keluar di ujian ku
@user152,"Mau mampir cuma buat lihat kolom komentar, nyumbang dislike sambil videonya saya dislike"
@user153,waw keren banget  jink 👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿👏🏿
@user154,Sama aja kaya mulyono pea
@user155,Wakil kopong
@user156,Mukanya pingin nendang
@user157,ngebayangin 50tahun kedepan nama gibran takabuming jadi sejarah kelam Indonesia 😢
@user158,Ahhh<br>Omon omon doang<br>Mana 19 JT lapangan pekerjaan
@user159,KOSSONGG
@user160,Hahh ini WaPres apa yutuber???😮<br>br ini ad bgini soalnya sblmnya blm prnah ada...jd terkezud
@user161,Pengen ketawa tp takut dosa😂. Total dislike nya di sembunyikan uyy.. semua dsini bicara fakta ya . Berani semua rakyat ini. Pdhl ini akun wapres lo😮😅 plis klo ga kuat turun saja.. ga malu apa di bully rakyat sendiri.
@user162,Bisa gak wapres diganti? Cari tahu donk
@user163,Bocah kos*ng lg ngomong 😅😅
@user164,Ayo teman-teman teruskan titipan dislike nya 🤭🤭
@user165,lanjutkan
@user166,"Bapak wapres, tolong baca komentar yaa. Terkadang komentar di media sosial lebih jujur dari pada komentar orang sekitar.."
@user167,"Ini lagi nyari adsene ya mas Gibas?😊, gak mungkin dong se kelas wapres bahasan nya ngawur dan kosong gini😂😂😂<br>Dollar ijo"
@user168,Lagi baca teks ya
@user169,Indonesian itu kerja mya harus pake orang dalem contohnya beliau jadi presiden melalui orang dalam yaitu bapak nya (jokowi)
@user170,Contekkan yg baguss... bisa ga wapresnya ganti AI aja
@user171,"wajar aja pada gapaham toh..<br>Mereka pada gapaham logika..<br>semuanya nyambung<br>intinya pak wapres membahas tentang bonus demografi..<br>lalu untuk jumbo,a.i,timnas..<br>itu semua ditunjukan sebagai bukti,kalo indonesia punya kesempatan yang besar dalam bonus demografi..<br>gunakan akal mu bukan hatimu..<br>kalian cuma bisa menghujat..<br>Ketika seseorang yang kalian hujat berhasil..<br>kalian cuma numpang terimakasih"
@user172,"lalu saran saya untuk memulai memperbaiki pendidikan diindonesia..<br>bisa dimulai dengan ekonomi, dengan lapangan kerja yang banyak dan gaji yang cukup..<br>membuat beban para ortu sedikit berkurang..<br>membuat angka kdrt,pelampiasan ke anak menjadi menurun..<br>dengan anak yang hidupnya baik..mudah diajarkan hal hal yang jarang diajarkan disekolah<br>contoh.. perkerjaan rumah,sifat,komputer..<br>barulah ke sistem pendidikan sekolah..<br>dimulai dari pemerintahannya, baru turun ke para guru,baru turun ke fasilitas sekolah,dan turun ke para siswa..."
@user173,tentunya semua yang berperan dalam posisi penting seperti itu..harus bebas dari tindakan yang merugikan..<br>oknum yang memberi gaji ke karyawan..<br>para ortu yang tidak menyalah gunakan uang..<br>para oknum pemerintahan yang harus tidak menyalah gunakan kekuasaan dan uang..<br>para guru yang harus benar benar mendidik..<br>para oknum yang benar benar harus mengunakan seluruh dana yang diberikan untuk fasilitas sekolah hanya untuk sekolah saja..<br>dan tinggal para siswa yang harus tekun dan memenuhi sebagai pelajar
@user174,"Lancar banget di video ini, beda kalau diwawancara langsung. Plonga plongo, nyengir gak jelas, dungu."
@user175,Ngajung☝siapa yg kesini bukan mau noton TAPI lihat komen
@user176,"Jujur gua sebenarnya ga mau komentar, tpi ga enak sama yang bikin konten. Kan dia ngonten ini udah capek. Ya udah gua komenin aja biarpun cuma singkat. Tak perlu panjang lebar biar yang baca ngak pusing. Kesel juga kan baca terlalu panjang kan gak jelas apa isi komennya kaya orng kumur-kumur. Makanya gua komen singkat aja. Tau sendiri kalau komen panjang panjang bacanya juga ngeselin banget kan?? Siapa juga yang mau baca kalau komennya kaya kereta api. Emang kerjaan nya kita hanya baca komen doang! Kalo baca 1 komen aja butuh waktu 1 jam, mana sempet kita ngerjain lainnya kayak update foto selvi selvi bareng doi, update status. Ngomentari teman yang lainnya itu lah sebab gua anjurkan kalau komen itu singkat saja. Biarpun singkat tapi bermutu itu lebih baik dri pda panjang lebar tpi ga jelas banget apa yang di omongin. Contohnya kaya komenan gua ini, singkat tapi mengena banget. ga bikin org org pusing, ga bikin org kesel klo baca. gua juga kesell banget kalau ada orng yang kalo komentar itu panjang panjang banget. Kesan itu gimana lho. Ada nih teman gua yang baca komentar panjang kek gitu jadi marah sampe banting hp segala. Kasian kan harus beli hp baru lagi. iya kalau punya uang buat beli lah kalau gada uangnya mau beli hp mke apan coba? mau make daun? yagakan bisa lahh! Itu salah akibat dri komentar yang terlalu panjang. Itu lah kenapa kalau komen gua cukup nulis satu dua patah aja yang penting komenlah buat ngehargai yang posting status Jangan mentang mentang baru belajar ngetik terus komentarnya panjang banget biar di kira intelektual. Yaelah, hanya komen ini kok kayak bikin skripsi aja sampai berlembar-lembar. Bukan saya mengina, Cuma saya kesal aja baca komentar kayak gitu. Bikin orng penasaran aja. Ini komentar kapan abisnya ?? Begitu abis ternyata malah tambah penasaran dan harus membaca ulang kan kita merasa jengkel kalau harus membaca ulang apa lagi kalau komenya panjang bangetkan kasian orng yng mau ambil pelajaran dri komen kita terus dia harus panjang baca lagi dri awal. Lihat komen gua singkat, jelas dan padat ga pake bahasa singkat-singkat kayak lagi ngirit kuota kalau kalian lagi mengirit kuota pake mode gratis aja kalau komen kan ngk makan kuota terus komennya bisa bisa di tulis bahasa yang baku dan jelas ga pakek bahasa singkat-singkat kan kasian sama orng yang baru punya hp kan kebanyakan dri mereka ngk ngerti bahasa singkat-singkat banget kalau komen itu jangan pakek bahasa daerah kan di media sosial itu seluruh Nusantara banyak suku bangsa jdi kalau ada komen yang pake bahasa daerah kita pasti kebingungan ngk jlas dia mau ngomong apa masih mending dia pake bahasa yang singkat dri pada bahasa daerah kan ngk ada di google translate tpi kalau pake bahasa singkat-singkat amat kan kasian yang baru punya hp kadang mereka ngk bisa baca tulisan yang singkat-singkat. Jadi intinya kalau komen itu ngk usah panjang lebar kayak komen aku aja singkat padat dan jelas ngk bertele-tele tepat pada pembahasan postingan yang kaya komen saya ini apa lagi yang baca. Orng tua kan kasian mereka mati-matian baca komen kita tapi ujung-ujungnya ngk jelas kita komen apa terus dia harus ulang lagi baca dri atas kan kasian dia nanti kamu dpt dosa lohh kan kasian jangan bertele-tele oke. Sekian dri pesan saya kalo komen itu langsung pada intinya aja kaya komen saya ini padat singkat dan jelas. ‌Jujur saya sebenarnya ngk mau komentar, tpi ngk enak sama yang bikin setatus. Kan dia nulis status ini udah capek. Ya udah aku komenin aja biarpun cuma singkat. Tak perlu panjang lebar biar yang baca ngak pusing. Kesel juga kan baca terlalu panjang kan gak jelas apa isi komennya kayak orng kumur-kumur gitu. Makanya saya komen singkat aja. Tau sendiri kalau komen kepanjngan itu ngeselin banget tau ga?? Siapa juga yang mau baca kalau komennya kayak kereta api gitu. Emang kerjaannya kita hanya baca komen aja? Kalau baca 1 komen aja butuh waktu 1 jam, mana sempet kita ngerjain lainnya kayak update foto selvi, update status. Ngomentari teman yang lainnya itu lah sebab saya anjurkan kalau komen itu singkat saja. Biarpun singkat tapi bermutuitu lebih baik dri pda panjang panjang banget tpi ga jelas apa yang di omongin. Contohnya kayak status saya ini nih....singkat tapi mengena banget. Ngk bikin pusing, ngk bikin kesel. Saya juga keki banget kalau ada orng yang kalo komentar itu panjang banget. Kesan itu gimana loh. Ada nih teman saya yang baca komentar panjang kek gitu jadi marah sampai banting hp segala. Kasian kan harus beli hp baru lagi. iya kalau punya uang, buat beli kalau ngk ?? Itu salah akibat dri komentar yang terlalu panjang. Itu lah kenpa kalau komen saya cukup nulis satu dua patah aja yang penting komenlah buat ngehargai yang posting setatus. Jangan mentang mentang baru belajar ngetik terus komentarnya panjang banget biar di kira intelektual. Yaelah, hanya komen ini kok kayak bikin skripsi aja sampai berlembar-lembar. Bukan saya mengina, Cuma saya kesal aja baca komentar kayak gitu. Bikin orng penasaran aja. Ini komentar kapan abisnya ?? Begitu abis ternyata malah tambah penasaran dan harus membaca ulang apa lagi kalau komenya panjang bangetkan kasian orng yng mau ambil pelajaran dri komen kita terus dia harus panjng baca lagi dri awal. Lihat komen saya singkat,.jelas dan padat ngk pakek bahasa singkat-singkat kaya lagi ngirit kuota kalau kalian lagi mengirit kuota pakek mode gratis aja kalau komen kan ngk makan kuota terus komennya bisa bisa di tulis bahasa yang baku dan jelas ngk pakek bahasa singkat-singkat kan kasian sama orng yang baru punya hp kan kebanyakan dri mereka ngk ngerti bahasa singkat-singkat banget kalau komen itu jangan pakek bahasa daerah kan di media sosial itu seluruh Nusantara banyak suku bangsa jdi kalau ada komen yang pake bahasa daerah kita pasti kebingungan ngk jlas dia mau ngomong apa masih mending dia pake bahasa yang singkat dri pada bahasa daerah kan ngk ada di google translate tpi kalau pake bahasa singkat-singkat amat kan kasian yang baru punya hp kadang mereka ngk bisa baca tulisan yang singkat-singkat. Jadi intinya kalau komen itu ngk usah panjang lebar kayak komen aku aja singkat padat dan jelas ngk bertele-tele pada pembahasan postingan yang kaya komen saya ini apa lagi yang baca. Orng tua kan kasian mereka mati-matian baca komen kita tapi ujung-ujungnya ngk jelas kita komen apa terus dia harus ulang lagi baca dri atas kan kasian dia nanti kamu dpt dosa lohh kan kasian jangan bertele-tele oke. Sekian dri pesan saya kalo komen itu langsung pada intinya aja kaya komen saya ini padat singkat dan jelas. ‌Jujur saya sebenarnya ngk mau komentar, tpi ngk enak sama yang bikin setatus. Kan dia nulis status ini udah capek. Ya udah aku komenin aja biarpun cuma singkat. Tak perlu panjang lebar biar yang baca ngak pusing. Kesel juga kan baca terlalu panjang kan gak jelas apa isi komennya kayak orng kumur-kumur gitu. Makanya saya komen singkat aja. Tau sendiri kalau komen kepanjngan itu ngeselin banget tau ngk?? Siapa juga yang mau baca kalau komennya kayak kereta api gitu. Emang kerjaannya kita hanya baca komen aja? Kalau baca 1 komen aja butuh waktu 1 jam, mana sempet kita ngerjain lainnya kayak update foto selvi, update status. Ngomentari teman yang lainnya itu lah sebab saya anjurkan kalau komen itu singkat saja. Biarpun singkat tapi bermutuitu lebih baik dri pda panjang banget tpi ga jelas apa yang di omongin. Contohnya kaya komen saya. singkat tapi mengena banget. ga bikin pusing, ngk bikin kesel. Saya juga keki banget kalau ada orng yang kalo komentar itu panjang banget. Kesan itu gimana lho. Ada nih teman saya yang baca komentar panjang kek gitu jadi marah sampai banting hp segala. Kasian kan harus beli hp baru lagi. mending kalo ada uang buat beli, lah kalo ga punya uang mau beli mke apaan? intinya tetap berkomentar,😃😃😃🤣🤣🤣"
@user177,"Kerennn mass gibran, ngomong ngomong script nya dibikin sama siapa? Maaf saya orang kampung jadi ga tau."
@user178,Mas Gibran Wapres termuda Indonesia termuda<br>Tetap semangat semoga sukses
@user179,Gw nganggur
@user180,Like seriously why you are so f*ckin happy/glad/proud about this... In reality this brings problem due to lack of employment
@user181,Bro pikir dia ferry irwandi
@user182,GENIUS👏👏👏👏👏👏
@user183,gibran jay jaya jayaaaaa🎉
@user184,Kon🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿
@user185,Apakah cuma gw yg gk maksud?
@user186,Beneran kosong bjr
@user187,ga keliatan dislike nya woe
@user188,Yang beginian bisa jadi wapres...gak mutu fufufafa 😮
@user189,🙂🙂
@user190,[SERIUS NANYA] IJASAH UGM BAPAKMU ASLI APA PALSU ???
@user191,Yg subscribe ini masih ad ? Wahh wahh wahh.. 🥱🥱🫣
@user192,beli followers bg😹
@user193,Kan bs beli... Wong likenya ratusan ribu saya ga kaget kmgknan besar dr buzzer atau jasa like
@user194,"🍓🍊🍇💥<a href=""https://www.youtube.com/watch?v=N7Ct2kEns9g"">https://youtu.be/N7Ct2kEns9g?si=WKZHFkb5gJ31Op6X</a>"
@user195,"Sumpah gua yakin 1000% wapres ini engga Paham sama sekali apa yang dia katakan atau sampaikan.. 😅😅😅<br>Mending bagi²in sembako aja pres dr pd bicara sprt ini, malu lihatnya.."
@user196,LUAR BIASA !! KOSONG 😂
@user197,Buzzer nha kemana ini 😂
@user198,Setuju Pak Wakil Presidenku 👌👌👌
